Character 1,Weight 1,Acceleration 1,Top Speed 1,Handling 1,On Road Traction 1,Mini Turbo 1,Character 2,Weight 2,Acceleration 2,Top Speed 2,Handling 2,On Road Traction 2,Mini Turbo 2,Map,Outcome,Effective Acceleration 1,Effective Acceleration 2,Effective Speed 1,Effective Speed 2,Power-Ups 1,Power-Ups 2
donkey_kong_jr,8,1,10,2,10,1,yoshi,4,3,6,5,3,4,choco_island,donkey_kong_jr,0.30000000000000004,2.3,8.0,4.800000000000001,star,
yoshi,4,3,6,5,3,4,koopa_troopa,2,4,3,8,1,4,choco_island,yoshi,2.3,3.3,4.800000000000001,2.4000000000000004,,star
luigi,6,2,7,5,5,3,bowser,10,0,10,0,6,0,koopa_beach,bowser,1.3000000000000003,0,7.3,10.5,thunderbolt,star
koopa_troopa,2,4,3,8,1,4,mario,6,2,7,4,4,3,donut_plains,mario,3.2,1.1999999999999997,2.4000000000000004,5.6000000000000005,red_shell,"feather, thunderbolt"
princess_peach,4,3,6,5,3,4,bowser,10,0,10,0,6,0,choco_island,princess_peach,2.3,0,4.800000000000001,8.0,coin,"star, red_shell"
princess_peach,4,3,6,5,3,4,toad,3,4,4,7,3,4,donut_plains,princess_peach,2.2,3.1999999999999997,4.800000000000001,3.2,"coin, thunderbolt, mushroom","red_shell, mushroom"
toad,3,4,4,7,3,4,princess_peach,4,3,6,5,3,4,donut_plains,toad,3.1999999999999997,2.2,3.2,4.800000000000001,"green_shell, star",
donkey_kong_jr,8,1,10,2,10,1,toad,3,4,4,7,3,4,rainbow_road,donkey_kong_jr,0.5,3.5,8.0,3.2,star,
luigi,6,2,7,5,5,3,donkey_kong_jr,8,1,10,2,10,1,koopa_beach,donkey_kong_jr,1.3000000000000003,0.30000000000000004,7.3,10.4,green_shell,
koopa_troopa,2,4,3,8,1,4,mario,6,2,7,4,4,3,rainbow_road,mario,3.5,1.5,2.4000000000000004,5.6000000000000005,feather,"banana_peel, mushroom"
luigi,6,2,7,5,5,3,bowser,10,0,10,0,6,0,rainbow_road,bowser,1.5,0,5.6000000000000005,8.0,"thunderbolt, feather",star
yoshi,4,3,6,5,3,4,toad,3,4,4,7,3,4,rainbow_road,yoshi,2.5,3.5,4.800000000000001,3.2,"mushroom, star, feather",
donkey_kong_jr,8,1,10,2,10,1,yoshi,4,3,6,5,3,4,choco_island,donkey_kong_jr,0.30000000000000004,2.3,8.0,4.800000000000001,"red_shell, feather","coin, coin, star"
koopa_troopa,2,4,3,8,1,4,yoshi,4,3,6,5,3,4,vanilla_lake,yoshi,3.4,2.4,3.1,6.2,"feather, feather, star","thunderbolt, green_shell"
koopa_troopa,2,4,3,8,1,4,donkey_kong_jr,8,1,10,2,10,1,vanilla_lake,donkey_kong_jr,3.4,0.4,3.1,10.4,"red_shell, thunderbolt","coin, thunderbolt"
luigi,6,2,7,5,5,3,koopa_troopa,2,4,3,8,1,4,choco_island,luigi,1.3000000000000003,3.3,5.6000000000000005,2.4000000000000004,red_shell,thunderbolt
koopa_troopa,2,4,3,8,1,4,mario,6,2,7,4,4,3,rainbow_road,mario,3.5,1.5,2.4000000000000004,5.6000000000000005,,star
luigi,6,2,7,5,5,3,mario,6,2,7,4,4,3,rainbow_road,Tie,1.5,1.5,5.6000000000000005,5.6000000000000005,"red_shell, star","red_shell, mushroom"
luigi,6,2,7,5,5,3,donkey_kong_jr,8,1,10,2,10,1,koopa_beach,donkey_kong_jr,1.3000000000000003,0.30000000000000004,7.3,10.4,mushroom,"thunderbolt, feather"
princess_peach,4,3,6,5,3,4,luigi,6,2,7,5,5,3,choco_island,princess_peach,2.3,1.3000000000000003,4.800000000000001,5.6000000000000005,feather,red_shell
mario,6,2,7,4,4,3,princess_peach,4,3,6,5,3,4,rainbow_road,princess_peach,1.5,2.5,5.6000000000000005,4.800000000000001,"mushroom, star","mushroom, star"
bowser,10,0,10,0,6,0,mario,6,2,7,4,4,3,koopa_beach,bowser,0,1.3000000000000003,10.5,7.3,star,star
yoshi,4,3,6,5,3,4,toad,3,4,4,7,3,4,rainbow_road,yoshi,2.5,3.5,4.800000000000001,3.2,"red_shell, mushroom",star
mario,6,2,7,4,4,3,luigi,6,2,7,5,5,3,donut_plains,luigi,1.1999999999999997,1.1999999999999997,5.6000000000000005,5.6000000000000005,star,"red_shell, mushroom"
toad,3,4,4,7,3,4,yoshi,4,3,6,5,3,4,koopa_beach,yoshi,3.3000000000000003,2.3,4.15,6.2,"thunderbolt, coin, star","thunderbolt, coin"
koopa_troopa,2,4,3,8,1,4,donkey_kong_jr,8,1,10,2,10,1,koopa_beach,donkey_kong_jr,3.3,0.30000000000000004,3.1,10.4,"red_shell, mushroom",
luigi,6,2,7,5,5,3,mario,6,2,7,4,4,3,donut_plains,luigi,1.1999999999999997,1.1999999999999997,5.6000000000000005,5.6000000000000005,"mushroom, feather",star
