Character 1,Character 2,Map,Outcome,Effective Acceleration 1,Effective Acceleration 2,Effective Speed 1,Effective Speed 2,Power-Ups 1,Power-Ups 2
bowser,luigi,donut_plains,bowser,0,1.1999999999999997,8.0,5.6000000000000005,[['star']],"[['mushroom', 'star']]"
donkey_kong_jr,princess_peach,choco_island,donkey_kong_jr,0.30000000000000004,2.3,8.0,4.800000000000001,"[['feather', 'star', 'thunderbolt']]",[['star']]
princess_peach,koopa_troopa,koopa_beach,princess_peach,2.3,3.3,6.2,3.1,[[]],[['coin']]
koopa_troopa,mario,koopa_beach,mario,3.3,1.3000000000000003,3.1,7.3,[['thunderbolt']],"[['red_shell', 'coin']]"
toad,princess_peach,choco_island,princess_peach,3.3000000000000003,2.3,3.2,4.800000000000001,"[['red_shell', 'feather']]","[['feather', 'thunderbolt']]"
donkey_kong_jr,luigi,rainbow_road,donkey_kong_jr,0.5,1.5,8.0,5.6000000000000005,[['feather']],[['thunderbolt']]
mario,bowser,donut_plains,bowser,1.1999999999999997,0,5.6000000000000005,8.0,"[['star', 'red_shell']]","[['thunderbolt', 'banana_peel']]"
donkey_kong_jr,koopa_troopa,donut_plains,donkey_kong_jr,0.19999999999999996,3.2,8.0,2.4000000000000004,[['thunderbolt']],"[['banana_peel', 'mushroom']]"
luigi,mario,choco_island,luigi,1.3000000000000003,1.3000000000000003,5.6000000000000005,5.6000000000000005,"[['mushroom', 'feather']]",[['mushroom']]
toad,bowser,rainbow_road,toad,3.5,0,3.2,8.0,[['mushroom']],[['feather']]
princess_peach,bowser,vanilla_lake,bowser,2.4,0,6.2,10.5,"[['star', 'mushroom']]",[['thunderbolt']]
toad,bowser,koopa_beach,bowser,3.3000000000000003,0,4.15,10.5,"[['thunderbolt', 'red_shell']]",[['star']]
koopa_troopa,donkey_kong_jr,vanilla_lake,donkey_kong_jr,3.4,0.4,3.1,10.4,"[['thunderbolt', 'banana_peel']]",[['feather']]
princess_peach,toad,vanilla_lake,princess_peach,2.4,3.4,6.2,4.15,[['mushroom']],"[['coin', 'star']]"
toad,bowser,rainbow_road,toad,3.5,0,3.2,8.0,"[['star', 'mushroom']]","[['star', 'red_shell']]"
toad,koopa_troopa,donut_plains,toad,3.1999999999999997,3.2,3.2,2.4000000000000004,[['star']],"[['mushroom', 'green_shell']]"
luigi,donkey_kong_jr,koopa_beach,donkey_kong_jr,1.3000000000000003,0.30000000000000004,7.3,10.4,[['banana_peel']],"[['star', 'thunderbolt']]"
luigi,mario,koopa_beach,mario,1.3000000000000003,1.3000000000000003,7.3,7.3,[['red_shell']],"[['feather', 'star']]"
koopa_troopa,princess_peach,choco_island,princess_peach,3.3,2.3,2.4000000000000004,4.800000000000001,"[['feather', 'feather']]",[['feather']]
yoshi,bowser,vanilla_lake,bowser,2.4,0,6.2,10.5,"[['mushroom', 'red_shell']]","[['red_shell', 'star']]"
princess_peach,luigi,koopa_beach,luigi,2.3,1.3000000000000003,6.2,7.3,[[]],[['feather']]
luigi,princess_peach,vanilla_lake,luigi,1.4,2.4,7.3,6.2,[[]],"[['coin', 'red_shell']]"
mario,yoshi,koopa_beach,mario,1.3000000000000003,2.3,7.3,6.2,[['star']],"[['mushroom', 'red_shell', 'star']]"
princess_peach,mario,choco_island,princess_peach,2.3,1.3000000000000003,4.800000000000001,5.6000000000000005,"[['coin', 'coin']]",[['banana_peel']]
luigi,mario,choco_island,Tie,1.3000000000000003,1.3000000000000003,5.6000000000000005,5.6000000000000005,"[['thunderbolt', 'star']]","[['thunderbolt', 'thunderbolt']]"
bowser,yoshi,choco_island,yoshi,0,2.3,8.0,4.800000000000001,[[]],[[]]
luigi,princess_peach,rainbow_road,princess_peach,1.5,2.5,5.6000000000000005,4.800000000000001,[[]],[['banana_peel']]
luigi,donkey_kong_jr,donut_plains,donkey_kong_jr,1.1999999999999997,0.19999999999999996,5.6000000000000005,8.0,"[['coin', 'red_shell', 'star']]","[['coin', 'mushroom']]"
koopa_troopa,yoshi,donut_plains,yoshi,3.2,2.2,2.4000000000000004,4.800000000000001,"[['mushroom', 'banana_peel']]",[['feather']]
mario,bowser,choco_island,bowser,1.3000000000000003,0,5.6000000000000005,8.0,"[['banana_peel', 'red_shell']]","[['feather', 'thunderbolt']]"
princess_peach,luigi,choco_island,princess_peach,2.3,1.3000000000000003,4.800000000000001,5.6000000000000005,"[['red_shell', 'mushroom']]","[['star', 'thunderbolt']]"
yoshi,princess_peach,rainbow_road,princess_peach,2.5,2.5,4.800000000000001,4.800000000000001,[['mushroom']],"[['red_shell', 'mushroom']]"
princess_peach,mario,koopa_beach,mario,2.3,1.3000000000000003,6.2,7.3,"[['red_shell', 'coin']]","[['mushroom', 'red_shell']]"
donkey_kong_jr,princess_peach,donut_plains,donkey_kong_jr,0.19999999999999996,2.2,8.0,4.800000000000001,"[['feather', 'feather']]",[['thunderbolt']]
yoshi,mario,vanilla_lake,mario,2.4,1.4,6.2,7.3,"[['red_shell', 'red_shell', 'feather']]",[['star']]
princess_peach,luigi,vanilla_lake,luigi,2.4,1.4,6.2,7.3,"[['star', 'red_shell']]","[['feather', 'red_shell', 'feather']]"
yoshi,bowser,choco_island,yoshi,2.3,0,4.800000000000001,8.0,[[]],[[]]
bowser,yoshi,vanilla_lake,bowser,0,2.4,10.5,6.2,"[['mushroom', 'red_shell', 'red_shell']]","[['star', 'red_shell']]"
yoshi,donkey_kong_jr,rainbow_road,donkey_kong_jr,2.5,0.5,4.800000000000001,8.0,"[['thunderbolt', 'feather']]","[['red_shell', 'star']]"
princess_peach,luigi,rainbow_road,princess_peach,2.5,1.5,4.800000000000001,5.6000000000000005,[['star']],[['red_shell']]
mario,yoshi,choco_island,yoshi,1.3000000000000003,2.3,5.6000000000000005,4.800000000000001,"[['mushroom', 'feather', 'red_shell']]",[['star']]
mario,luigi,choco_island,Tie,1.3000000000000003,1.3000000000000003,5.6000000000000005,5.6000000000000005,"[['feather', 'coin']]","[['mushroom', 'star']]"
mario,koopa_troopa,donut_plains,mario,1.1999999999999997,3.2,5.6000000000000005,2.4000000000000004,"[['star', 'feather']]",[['red_shell']]
mario,luigi,choco_island,luigi,1.3000000000000003,1.3000000000000003,5.6000000000000005,5.6000000000000005,"[['banana_peel', 'star']]","[['mushroom', 'thunderbolt', 'red_shell']]"
yoshi,bowser,donut_plains,yoshi,2.2,0,4.800000000000001,8.0,[['banana_peel']],[['mushroom']]
koopa_troopa,mario,vanilla_lake,mario,3.4,1.4,3.1,7.3,[['coin']],[['feather']]
luigi,yoshi,rainbow_road,yoshi,1.5,2.5,5.6000000000000005,4.800000000000001,[['feather']],[[]]
luigi,princess_peach,donut_plains,princess_peach,1.1999999999999997,2.2,5.6000000000000005,4.800000000000001,[['star']],"[['star', 'red_shell']]"
bowser,donkey_kong_jr,donut_plains,donkey_kong_jr,0,0.19999999999999996,8.0,8.0,[['thunderbolt']],"[['mushroom', 'mushroom']]"
luigi,koopa_troopa,vanilla_lake,luigi,1.4,3.4,7.3,3.1,[['thunderbolt']],[['star']]
koopa_troopa,princess_peach,vanilla_lake,princess_peach,3.4,2.4,3.1,6.2,"[['mushroom', 'thunderbolt']]",[['red_shell']]
mario,princess_peach,rainbow_road,princess_peach,1.5,2.5,5.6000000000000005,4.800000000000001,[['red_shell']],"[['thunderbolt', 'feather']]"
toad,luigi,vanilla_lake,luigi,3.4,1.4,4.15,7.3,[['star']],"[['thunderbolt', 'coin']]"
yoshi,luigi,choco_island,yoshi,2.3,1.3000000000000003,4.800000000000001,5.6000000000000005,"[['banana_peel', 'coin']]","[['thunderbolt', 'thunderbolt']]"
yoshi,bowser,koopa_beach,bowser,2.3,0,6.2,10.5,[['mushroom']],[['star']]
yoshi,luigi,choco_island,yoshi,2.3,1.3000000000000003,4.800000000000001,5.6000000000000005,"[['red_shell', 'mushroom']]","[['star', 'feather']]"
toad,mario,rainbow_road,toad,3.5,1.5,3.2,5.6000000000000005,[['star']],[['feather']]
bowser,luigi,choco_island,bowser,0,1.3000000000000003,8.0,5.6000000000000005,"[['coin', 'feather', 'red_shell']]",[['star']]
koopa_troopa,luigi,vanilla_lake,luigi,3.4,1.4,3.1,7.3,"[['feather', 'feather']]","[['thunderbolt', 'coin']]"
yoshi,luigi,koopa_beach,luigi,2.3,1.3000000000000003,6.2,7.3,[['coin']],[['star']]
mario,bowser,donut_plains,bowser,1.1999999999999997,0,5.6000000000000005,8.0,[['banana_peel']],"[['banana_peel', 'mushroom']]"
princess_peach,toad,vanilla_lake,princess_peach,2.4,3.4,6.2,4.15,"[['feather', 'mushroom']]",[[]]
mario,yoshi,donut_plains,yoshi,1.1999999999999997,2.2,5.6000000000000005,4.800000000000001,[['thunderbolt']],[['red_shell']]
yoshi,koopa_troopa,rainbow_road,yoshi,2.5,3.5,4.800000000000001,2.4000000000000004,[[]],"[['thunderbolt', 'thunderbolt', 'mushroom']]"
luigi,yoshi,choco_island,yoshi,1.3000000000000003,2.3,5.6000000000000005,4.800000000000001,[['red_shell']],"[['red_shell', 'mushroom']]"
toad,mario,koopa_beach,mario,3.3000000000000003,1.3000000000000003,4.15,7.3,[['green_shell']],[[]]
yoshi,toad,vanilla_lake,yoshi,2.4,3.4,6.2,4.15,"[['feather', 'star']]","[['star', 'feather']]"
luigi,koopa_troopa,vanilla_lake,luigi,1.4,3.4,7.3,3.1,[['star']],"[['red_shell', 'thunderbolt']]"
princess_peach,luigi,donut_plains,princess_peach,2.2,1.1999999999999997,4.800000000000001,5.6000000000000005,"[['star', 'star', 'star']]","[['feather', 'thunderbolt']]"
toad,donkey_kong_jr,choco_island,donkey_kong_jr,3.3000000000000003,0.30000000000000004,3.2,8.0,[[]],[['star']]
donkey_kong_jr,bowser,vanilla_lake,donkey_kong_jr,0.4,0,10.4,10.5,[[]],"[['thunderbolt', 'thunderbolt']]"
mario,toad,donut_plains,toad,1.1999999999999997,3.1999999999999997,5.6000000000000005,3.2,"[['mushroom', 'banana_peel', 'mushroom']]","[['mushroom', 'green_shell']]"
luigi,yoshi,rainbow_road,yoshi,1.5,2.5,5.6000000000000005,4.800000000000001,[['star']],[['thunderbolt']]
yoshi,koopa_troopa,choco_island,yoshi,2.3,3.3,4.800000000000001,2.4000000000000004,[['coin']],"[['feather', 'mushroom']]"
koopa_troopa,toad,vanilla_lake,toad,3.4,3.4,3.1,4.15,[['red_shell']],[['thunderbolt']]
bowser,toad,rainbow_road,toad,0,3.5,8.0,3.2,[[]],"[['feather', 'feather']]"
donkey_kong_jr,koopa_troopa,rainbow_road,donkey_kong_jr,0.5,3.5,8.0,2.4000000000000004,[[]],[['star']]
koopa_troopa,toad,koopa_beach,toad,3.3,3.3000000000000003,3.1,4.15,"[['red_shell', 'feather']]",[['feather']]
mario,donkey_kong_jr,choco_island,donkey_kong_jr,1.3000000000000003,0.30000000000000004,5.6000000000000005,8.0,"[['thunderbolt', 'mushroom']]","[['mushroom', 'thunderbolt']]"
yoshi,luigi,rainbow_road,yoshi,2.5,1.5,4.800000000000001,5.6000000000000005,"[['star', 'star', 'star']]","[['banana_peel', 'thunderbolt']]"
koopa_troopa,princess_peach,rainbow_road,princess_peach,3.5,2.5,2.4000000000000004,4.800000000000001,[[]],[['red_shell']]
princess_peach,luigi,donut_plains,princess_peach,2.2,1.1999999999999997,4.800000000000001,5.6000000000000005,"[['mushroom', 'red_shell']]",[['red_shell']]
bowser,toad,choco_island,toad,0,3.3000000000000003,8.0,3.2,"[['banana_peel', 'coin']]","[['mushroom', 'thunderbolt']]"
donkey_kong_jr,koopa_troopa,vanilla_lake,donkey_kong_jr,0.4,3.4,10.4,3.1,"[['red_shell', 'mushroom']]",[['star']]
bowser,toad,koopa_beach,bowser,0,3.3000000000000003,10.5,4.15,"[['thunderbolt', 'star']]","[['star', 'thunderbolt', 'star']]"
luigi,koopa_troopa,vanilla_lake,luigi,1.4,3.4,7.3,3.1,"[['mushroom', 'mushroom']]","[['star', 'thunderbolt']]"
princess_peach,koopa_troopa,rainbow_road,princess_peach,2.5,3.5,4.800000000000001,2.4000000000000004,"[['feather', 'feather', 'star']]","[['feather', 'feather']]"
yoshi,donkey_kong_jr,choco_island,donkey_kong_jr,2.3,0.30000000000000004,4.800000000000001,8.0,[['red_shell']],"[['coin', 'mushroom', 'thunderbolt']]"
bowser,yoshi,koopa_beach,bowser,0,2.3,10.5,6.2,[['red_shell']],"[['mushroom', 'feather']]"
koopa_troopa,donkey_kong_jr,donut_plains,donkey_kong_jr,3.2,0.19999999999999996,2.4000000000000004,8.0,"[['banana_peel', 'mushroom', 'feather']]",[[]]
koopa_troopa,yoshi,rainbow_road,yoshi,3.5,2.5,2.4000000000000004,4.800000000000001,[['thunderbolt']],[['mushroom']]
luigi,koopa_troopa,koopa_beach,luigi,1.3000000000000003,3.3,7.3,3.1,[['feather']],"[['red_shell', 'mushroom']]"
toad,bowser,rainbow_road,toad,3.5,0,3.2,8.0,"[['thunderbolt', 'star']]",[['red_shell']]
toad,koopa_troopa,donut_plains,toad,3.1999999999999997,3.2,3.2,2.4000000000000004,"[['feather', 'banana_peel']]",[['feather']]
koopa_troopa,yoshi,koopa_beach,yoshi,3.3,2.3,3.1,6.2,[[]],[['thunderbolt']]
princess_peach,mario,rainbow_road,princess_peach,2.5,1.5,4.800000000000001,5.6000000000000005,"[['feather', 'star']]",[['thunderbolt']]
donkey_kong_jr,princess_peach,koopa_beach,donkey_kong_jr,0.30000000000000004,2.3,10.4,6.2,[['feather']],"[['thunderbolt', 'thunderbolt']]"
donkey_kong_jr,mario,koopa_beach,donkey_kong_jr,0.30000000000000004,1.3000000000000003,10.4,7.3,[['thunderbolt']],[['mushroom']]
princess_peach,mario,rainbow_road,princess_peach,2.5,1.5,4.800000000000001,5.6000000000000005,[['thunderbolt']],"[['star', 'star']]"
bowser,princess_peach,koopa_beach,bowser,0,2.3,10.5,6.2,"[['banana_peel', 'feather', 'banana_peel']]",[[]]
toad,yoshi,koopa_beach,yoshi,3.3000000000000003,2.3,4.15,6.2,"[['feather', 'feather', 'star']]",[[]]
toad,mario,vanilla_lake,mario,3.4,1.4,4.15,7.3,"[['banana_peel', 'red_shell']]","[['thunderbolt', 'thunderbolt']]"
yoshi,donkey_kong_jr,donut_plains,donkey_kong_jr,2.2,0.19999999999999996,4.800000000000001,8.0,[['feather']],"[['star', 'thunderbolt']]"
bowser,princess_peach,koopa_beach,bowser,0,2.3,10.5,6.2,[['thunderbolt']],"[['star', 'red_shell']]"
donkey_kong_jr,bowser,donut_plains,donkey_kong_jr,0.19999999999999996,0,8.0,8.0,"[['star', 'star']]",[['mushroom']]
yoshi,toad,rainbow_road,toad,2.5,3.5,4.800000000000001,3.2,[['red_shell']],"[['banana_peel', 'mushroom']]"
princess_peach,donkey_kong_jr,koopa_beach,donkey_kong_jr,2.3,0.30000000000000004,6.2,10.4,"[['red_shell', 'feather', 'mushroom']]","[['star', 'red_shell']]"
bowser,luigi,donut_plains,bowser,0,1.1999999999999997,8.0,5.6000000000000005,[['star']],[['mushroom']]
mario,princess_peach,choco_island,princess_peach,1.3000000000000003,2.3,5.6000000000000005,4.800000000000001,[[]],[['coin']]
