Character 1,Character 2,Map,Outcome,Character 1 Base,Character 2 Base,Character 1 Map,Character 2 Map,Character 1 Final,Character 2 Final
princess_peach,mario,donut_plains,mario,0.45454545454545453,0.4727272727272727,0.10375000000000001,0.10225,0.3142272727272727,0.3245363636363636
princess_peach,donkey_kong_jr,choco_island,donkey_kong_jr,0.45454545454545453,0.5818181818181818,0.10250000000000001,0.1445,0.31372727272727274,0.4068909090909091
princess_peach,donkey_kong_jr,vanilla_lake,donkey_kong_jr,0.45454545454545453,0.5818181818181818,0.1025,0.15349999999999997,0.3137272727272727,0.4104909090909091
luigi,donkey_kong_jr,koopa_beach,donkey_kong_jr,0.509090909090909,0.5818181818181818,0.11975,0.15075,0.3533545454545454,0.4093909090909091
mario,toad,vanilla_lake,mario,0.4727272727272727,0.45454545454545453,0.1045,0.11199999999999999,0.32543636363636363,0.3175272727272727
koopa_troopa,mario,choco_island,mario,0.4,0.4727272727272727,0.11300000000000002,0.1015,0.2852,0.32423636363636366
bowser,koopa_troopa,donut_plains,bowser,0.4727272727272727,0.4,0.07949999999999999,0.11324999999999999,0.3154363636363636,0.2853
toad,koopa_troopa,donut_plains,toad,0.45454545454545453,0.4,0.12349999999999998,0.11324999999999999,0.3221272727272727,0.2853
luigi,toad,koopa_beach,luigi,0.509090909090909,0.45454545454545453,0.11975,0.1115,0.3533545454545454,0.3173272727272727
toad,bowser,koopa_beach,bowser,0.45454545454545453,0.4727272727272727,0.1115,0.10049999999999999,0.3173272727272727,0.32383636363636364
luigi,yoshi,koopa_beach,luigi,0.509090909090909,0.45454545454545453,0.11975,0.10374999999999998,0.3533545454545454,0.3142272727272727
bowser,donkey_kong_jr,donut_plains,donkey_kong_jr,0.4727272727272727,0.5818181818181818,0.07949999999999999,0.14175,0.3154363636363636,0.4057909090909091
luigi,yoshi,rainbow_road,luigi,0.509090909090909,0.45454545454545453,0.125,0.1,0.3554545454545454,0.31272727272727274
princess_peach,luigi,vanilla_lake,luigi,0.45454545454545453,0.509090909090909,0.1025,0.12049999999999998,0.3137272727272727,0.35365454545454544
mario,yoshi,rainbow_road,mario,0.4727272727272727,0.45454545454545453,0.1,0.1,0.3236363636363636,0.31272727272727274
toad,donkey_kong_jr,rainbow_road,donkey_kong_jr,0.45454545454545453,0.5818181818181818,0.125,0.15,0.3227272727272727,0.40909090909090906
koopa_troopa,yoshi,koopa_beach,yoshi,0.4,0.45454545454545453,0.09674999999999999,0.10374999999999998,0.2787,0.3142272727272727
donkey_kong_jr,yoshi,koopa_beach,donkey_kong_jr,0.5818181818181818,0.45454545454545453,0.15075,0.10374999999999998,0.4093909090909091,0.3142272727272727
bowser,luigi,vanilla_lake,luigi,0.4727272727272727,0.509090909090909,0.09899999999999999,0.12049999999999998,0.32323636363636365,0.35365454545454544
luigi,donkey_kong_jr,choco_island,donkey_kong_jr,0.509090909090909,0.5818181818181818,0.12350000000000001,0.1445,0.3548545454545454,0.4068909090909091
toad,yoshi,rainbow_road,toad,0.45454545454545453,0.45454545454545453,0.125,0.1,0.3227272727272727,0.31272727272727274
mario,princess_peach,choco_island,mario,0.4727272727272727,0.45454545454545453,0.1015,0.10250000000000001,0.32423636363636366,0.31372727272727274
bowser,koopa_troopa,vanilla_lake,bowser,0.4727272727272727,0.4,0.09899999999999999,0.09649999999999999,0.32323636363636365,0.27859999999999996
princess_peach,luigi,vanilla_lake,luigi,0.45454545454545453,0.509090909090909,0.1025,0.12049999999999998,0.3137272727272727,0.35365454545454544
donkey_kong_jr,mario,rainbow_road,donkey_kong_jr,0.5818181818181818,0.4727272727272727,0.15,0.1,0.40909090909090906,0.3236363636363636
koopa_troopa,bowser,choco_island,bowser,0.4,0.4727272727272727,0.11300000000000002,0.078,0.2852,0.31483636363636364
donkey_kong_jr,toad,koopa_beach,donkey_kong_jr,0.5818181818181818,0.45454545454545453,0.15075,0.1115,0.4093909090909091,0.3173272727272727
toad,donkey_kong_jr,donut_plains,donkey_kong_jr,0.45454545454545453,0.5818181818181818,0.12349999999999998,0.14175,0.3221272727272727,0.4057909090909091
bowser,luigi,rainbow_road,luigi,0.4727272727272727,0.509090909090909,0.075,0.125,0.3136363636363636,0.3554545454545454
yoshi,princess_peach,donut_plains,Tie,0.45454545454545453,0.45454545454545453,0.10375000000000001,0.10375000000000001,0.3142272727272727,0.3142272727272727
koopa_troopa,donkey_kong_jr,koopa_beach,donkey_kong_jr,0.4,0.5818181818181818,0.09674999999999999,0.15075,0.2787,0.4093909090909091
princess_peach,koopa_troopa,donut_plains,princess_peach,0.45454545454545453,0.4,0.10375000000000001,0.11324999999999999,0.3142272727272727,0.2853
toad,bowser,rainbow_road,toad,0.45454545454545453,0.4727272727272727,0.125,0.075,0.3227272727272727,0.3136363636363636
princess_peach,koopa_troopa,vanilla_lake,princess_peach,0.45454545454545453,0.4,0.1025,0.09649999999999999,0.3137272727272727,0.27859999999999996
koopa_troopa,yoshi,vanilla_lake,yoshi,0.4,0.45454545454545453,0.09649999999999999,0.1025,0.27859999999999996,0.3137272727272727
bowser,toad,koopa_beach,bowser,0.4727272727272727,0.45454545454545453,0.10049999999999999,0.1115,0.32383636363636364,0.3173272727272727
yoshi,bowser,choco_island,bowser,0.45454545454545453,0.4727272727272727,0.10250000000000001,0.078,0.31372727272727274,0.31483636363636364
yoshi,toad,koopa_beach,toad,0.45454545454545453,0.45454545454545453,0.10374999999999998,0.1115,0.3142272727272727,0.3173272727272727
yoshi,koopa_troopa,vanilla_lake,yoshi,0.45454545454545453,0.4,0.1025,0.09649999999999999,0.3137272727272727,0.27859999999999996
toad,koopa_troopa,rainbow_road,toad,0.45454545454545453,0.4,0.125,0.1125,0.3227272727272727,0.285
yoshi,princess_peach,choco_island,Tie,0.45454545454545453,0.45454545454545453,0.10250000000000001,0.10250000000000001,0.31372727272727274,0.31372727272727274
mario,toad,koopa_beach,mario,0.4727272727272727,0.45454545454545453,0.10525,0.1115,0.3257363636363636,0.3173272727272727
yoshi,mario,rainbow_road,mario,0.45454545454545453,0.4727272727272727,0.1,0.1,0.31272727272727274,0.3236363636363636
koopa_troopa,yoshi,choco_island,yoshi,0.4,0.45454545454545453,0.11300000000000002,0.10250000000000001,0.2852,0.31372727272727274
bowser,donkey_kong_jr,donut_plains,donkey_kong_jr,0.4727272727272727,0.5818181818181818,0.07949999999999999,0.14175,0.3154363636363636,0.4057909090909091
princess_peach,bowser,vanilla_lake,bowser,0.45454545454545453,0.4727272727272727,0.1025,0.09899999999999999,0.3137272727272727,0.32323636363636365
donkey_kong_jr,koopa_troopa,koopa_beach,donkey_kong_jr,0.5818181818181818,0.4,0.15075,0.09674999999999999,0.4093909090909091,0.2787
koopa_troopa,toad,vanilla_lake,toad,0.4,0.45454545454545453,0.09649999999999999,0.11199999999999999,0.27859999999999996,0.3175272727272727
yoshi,donkey_kong_jr,koopa_beach,donkey_kong_jr,0.45454545454545453,0.5818181818181818,0.10374999999999998,0.15075,0.3142272727272727,0.4093909090909091
yoshi,bowser,choco_island,bowser,0.45454545454545453,0.4727272727272727,0.10250000000000001,0.078,0.31372727272727274,0.31483636363636364
bowser,mario,koopa_beach,mario,0.4727272727272727,0.4727272727272727,0.10049999999999999,0.10525,0.32383636363636364,0.3257363636363636
